capture_id,label,label_name,Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SSH,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
C_i1800_j0,0,benign,101.1,6,0.0,6653.401015228426,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,66.0,311.0,101.1,74.7883012241888,1011.0,0.00016699896918402778,10.0,5593.29
C_i1800_j0,0,benign_external,147.8,6,0.0,4094.8003514595334,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002713468339708116,10.0,25868.96
C_i1800_j0,0,benign_external,147.8,6,0.0,5162.855736090596,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.0002152125040690104,10.0,25868.96
C_i1800_j0,0,benign,328.8,6,0.0,6613.535162409335,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288.0,66.0,2587.0,328.8,753.2072490357485,3288.0,0.00016800562540690103,10.0,567321.16
C_i1800_j0,0,benign_external,147.8,6,0.0,4741.469590775492,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.00023433897230360244,10.0,25868.96
C_i1800_j0,0,benign,2601.25,6,0.0,10667.1007121058,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52025.0,66.0,14546.0,2601.25,4238.572529460832,52025.0,9.868019505550987e-05,20.0,17965497.0875
C_i1800_j0,0,benign_external,140.36363636363637,6,0.0,4045.7158891616978,1.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1544.0,66.0,511.0,140.36363636363637,155.14583914806957,1544.0,0.0002718925476074219,11.0,24070.23140495868
C_i1800_j0,0,benign,2773.9,6,0.0,11104.855705586444,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55478.0,66.0,14546.0,2773.9,4719.553812597119,55478.0,9.479020771227385e-05,20.0,22274188.19
C_i1800_j0,0,benign,4265.535714285715,6,0.0,12533.67257203842,1.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119435.0,66.0,29026.0,4265.535714285715,7448.19180109289,119435.0,8.274007726598668e-05,28.0,55475561.10586735
C_i1800_j0,0,benign_external,147.8,6,0.0,4698.973784449921,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.0,66.0,511.0,147.8,160.8383038955584,1478.0,0.000236458248562283,10.0,25868.96
